eye_shoulder_y_ratio,shoulder_y_diff,wrist_distance_x,wrist_shoulder_ratio,nose_eye_center_offset_x,shoulder_span,hip_shoulder_y_diff,body_lean_x,shoulder_center_x,hip_center_x,spine_angle,eye_distance,head_tilt_angle,eye_distance_ratio,shoulder_slope,head_direction,arm_position,posture,confidence_label
-0.5035957992076874,0.00747603178024292,0.5790190100669861,1.265216343307622,0.005173489451408386,0.4576953313117851,0.940374106168747,-0.013119548559188843,0.528733104467392,0.5418526530265808,89.2006947108852,0.14595731270567686,-9.428943412384932,0.3188962235803314,0.00747603178024292,Looking Straight,Partially Open,Upright,Confident
-0.483257532119751,0.008997082710266113,0.569415807723999,1.2529658300577415,0.005958527326583862,0.45453343194043144,0.9560522437095642,-0.011132091283798218,0.530794158577919,0.5419262498617172,89.33288894062272,0.14950929903511387,-8.837169535362356,0.3289291579650135,0.008997082710266113,Looking Straight,Partially Open,Upright,Confident
-0.49984654784202576,0.007364749908447266,0.565544843673706,1.2414248247912425,0.00415685772895813,0.455610615754578,0.9575424790382385,-0.009751275181770325,0.5313809216022491,0.5411321967840195,89.4165401406844,0.1496019937807476,-8.891049592464393,0.32835493425230705,0.007364749908447266,Looking Straight,Partially Open,Upright,Confident
-0.5072753131389618,0.004634380340576172,0.5675656497478485,1.2415384763554718,0.004659935832023621,0.4571605389344249,0.9607121348381042,-0.007605791091918945,0.5321670472621918,0.5397728383541107,89.54640874239534,0.14943347851925146,-8.448227016431408,0.3268730911630284,0.004634380340576172,Looking Straight,Partially Open,Upright,Confident
-0.5314308106899261,0.0033603906631469727,0.5687834918498993,1.2433520358484529,0.006325811147689819,0.45746207663050525,0.9781537055969238,-0.006107762455940247,0.5323026478290558,0.538410410284996,89.64223980243554,0.15219588892276556,-9.40567886924937,0.3326961877228898,0.0033603906631469727,Looking Straight,Partially Open,Upright,Confident
-0.5202562808990479,0.003951549530029297,0.5867267698049545,1.272722117897091,0.00476992130279541,0.46100840773873447,0.9872589707374573,-0.005252048373222351,0.5313561707735062,0.5366082191467285,89.69519915664141,0.1583649313510265,-8.140349383907568,0.3435185317504579,0.003951549530029297,Looking Straight,Partially Open,Upright,Confident
-0.519620731472969,0.007828474044799805,0.590524822473526,1.2513468391964346,0.005199790000915527,0.47196631663284094,0.9891428351402283,-0.0028445422649383545,0.5344312936067581,0.5372758358716965,89.83523126149612,0.15809190833894363,-8.549024532544534,0.3349643878546715,0.007828474044799805,Looking Straight,Partially Open,Upright,Confident
-0.52004474401474,0.004776358604431152,0.5891712456941605,1.229542027137305,0.005811363458633423,0.47919323311727385,0.9906482696533203,-0.007034868001937866,0.5340293943881989,0.5410642623901367,89.59313362454908,0.15506553077764249,-9.639622125254471,0.32359707955160755,0.004776358604431152,Looking Straight,Partially Open,Upright,Confident
-0.5338727831840515,0.00600743293762207,0.6179322153329849,1.2753016951932217,0.004802703857421875,0.48456530494800276,1.0016831755638123,-0.010173171758651733,0.5364478230476379,0.5466209948062897,89.41811964008552,0.15606854701746165,-6.934082367034846,0.32207949150261367,0.00600743293762207,Looking Straight,Partially Open,Upright,Confident
-0.532601535320282,0.0021247267723083496,0.6351777762174606,1.2932552455743738,0.00412827730178833,0.49114108721326805,1.0077159702777863,-0.010892733931541443,0.5380158126354218,0.5489085465669632,89.38069516163297,0.16154629184246116,-10.23270968470035,0.3289203368406296,0.0021247267723083496,Looking Straight,Partially Open,Upright,Confident
-0.530951589345932,0.0014646053314208984,0.6367504745721817,1.287585500801778,0.004173338413238525,0.4945228032444822,1.01030433177948,-0.011198103427886963,0.5388904362916946,0.5500885397195816,89.36496581032884,0.15918834160224032,-10.029199737374872,0.3219029346226948,0.0014646053314208984,Looking Straight,Partially Open,Upright,Confident
-0.5286901593208313,0.0026168227195739746,0.6324422508478165,1.2616469495765665,0.0034668147563934326,0.5012798961290247,1.0138196051120758,-0.0118979811668396,0.5362886637449265,0.548186644911766,89.32761922541079,0.16013077326047487,-10.898846906501586,0.31944383666098336,0.0026168227195739746,Looking Straight,Partially Open,Upright,Confident
-0.5249424576759338,0.0005916953086853027,0.6174883842468262,1.2338548961759708,0.00542217493057251,0.5004449706398683,1.0151903331279755,-0.011856019496917725,0.536067321896553,0.5479233413934708,89.3308949306365,0.16048018419617516,-10.473815783212702,0.3206749864844988,0.0005916953086853027,Looking Straight,Partially Open,Upright,Confident
-0.5255440473556519,0.0012025833129882812,0.609080970287323,1.2186604870702011,0.004122927784919739,0.4997868999064862,1.016464352607727,-0.011785194277763367,0.5359309166669846,0.5477161109447479,89.33572521607395,0.15973703497845548,-10.005401905391938,0.319610287921399,0.0012025833129882812,Looking Straight,Partially Open,Upright,Confident
-0.5254121720790863,0.004186093807220459,0.6139185428619385,1.2279182863782285,0.0060043781995773315,0.4999744602277714,1.0166688859462738,-0.011584758758544922,0.5356349498033524,0.5472197085618973,89.34715317140784,0.1674493898114387,-11.484323701054615,0.33491588697381547,0.004186093807220459,Looking Straight,Partially Open,Upright,Confident
-0.5330018550157547,0.004994034767150879,0.617428183555603,1.2325332995440124,0.005423992872238159,0.500957288800919,1.016830563545227,-0.011859014630317688,0.5349867045879364,0.5468457192182541,89.33180540855935,0.16912400729295346,-11.52971497567202,0.3376016500284189,0.004994034767150879,Looking Straight,Partially Open,Upright,Confident
-0.5330327749252319,0.004964768886566162,0.6200736314058304,1.2367293616082162,0.00498412549495697,0.5013964115860817,1.0164447724819183,-0.012142851948738098,0.5346685200929642,0.5468113720417023,89.31555447769617,0.17015105921478688,-10.995624221010054,0.33935436170463035,0.004964768886566162,Looking Straight,Partially Open,Upright,Confident
-0.5351904034614563,0.003818333148956299,0.6234850734472275,1.2293270689963427,0.007431715726852417,0.5071802822770578,1.0231569111347198,-0.014509379863739014,0.534946620464325,0.549456000328064,89.18754347402097,0.1757029069103536,-10.705497251599384,0.3464308709351051,0.003818333148956299,Looking Straight,Partially Open,Upright,Confident
-0.5398537963628769,0.0010613203048706055,0.65096715092659,1.2710104006936362,0.010957300662994385,0.5121561854685772,1.0225449204444885,-0.01642678678035736,0.5365968197584152,0.5530236065387726,89.07964473469107,0.17990831999795176,-10.480191904674763,0.35127628075672207,0.0010613203048706055,Looking Straight,Partially Open,Upright,Confident
-0.5440321415662766,0.007533669471740723,0.6585900485515594,1.2718967332179636,0.012453153729438782,0.5178463127404298,1.0247145891189575,-0.015821993350982666,0.5389125943183899,0.5547345876693726,89.11540108677714,0.17799200531618975,-10.409643868141044,0.34371588816430976,0.007533669471740723,Looking Straight,Partially Open,Upright,Confident
